classifier,C,alpha,kernel,max_depth,n_estimators,n_neighbors,gamma,objective,elapsed_sec
MLP,nan,2.5709527263074383,NA,nan,nan,nan,nan,0.7246376811594203,17.773869037628174
SVC,3.963979593175008e-05,nan,sigmoid,nan,nan,nan,0.1751420702103284,0.0,25.379324197769165
MLP,nan,0.1812190436841101,NA,nan,nan,nan,nan,0.7272727272727272,52.27844500541687
MLP,nan,0.2851730035170393,NA,nan,nan,nan,nan,0.7179487179487178,78.91947793960571
SVC,0.011698637895230254,nan,linear,nan,nan,nan,nan,0.5471698113207547,84.82586693763733
KNeighbors,nan,nan,NA,nan,nan,9,nan,0.6756756756756758,92.8423581123352
XGBoost,nan,nan,NA,59,nan,nan,0.00012095751352203898,0.8,102.50270795822144
XGBoost,nan,nan,NA,3,nan,nan,0.6536288784445653,0.8,112.33312892913818
XGBoost,nan,nan,NA,64,nan,nan,0.10041358542795827,0.8,122.8308310508728
Logistic,1.3754163303226246,nan,NA,nan,nan,nan,nan,0.72,138.11712503433228
SVC,0.0013817264431490485,nan,rbf,nan,nan,nan,7.330662768280666e-05,0.0,146.16204595565796
XGBoost,nan,nan,NA,39,nan,nan,3.460942863522814e-05,0.8,159.5030882358551
Logistic,5.55791236460723e-05,nan,NA,nan,nan,nan,nan,0.5043478260869565,174.72670102119446
Logistic,0.24645041840656617,nan,NA,nan,nan,nan,nan,0.72,189.69003415107727
XGBoost,nan,nan,NA,2,nan,nan,0.05044456465314908,0.8,199.79292798042297
SVC,0.40224033394824354,nan,poly,nan,nan,nan,0.3448407128679587,0.676056338028169,205.38357210159302
RandomForest,nan,nan,NA,35,3,nan,nan,0.6875,214.54319310188293
XGBoost,nan,nan,NA,85,nan,nan,6.306643798735948,0.8,225.07895016670227
SVC,0.991399990790487,nan,sigmoid,nan,nan,nan,1.5579440446204585e-05,0.0,232.78113198280334
SVC,1.1773000154630273,nan,poly,nan,nan,nan,0.000768449454768184,0.0,239.5314531326294
Logistic,5.27461594039036,nan,NA,nan,nan,nan,nan,0.7272727272727272,254.59467601776123
Logistic,6.342454761765684,nan,NA,nan,nan,nan,nan,0.7272727272727272,269.90160727500916
SVC,0.6308928654468403,nan,poly,nan,nan,nan,2.038548486063684,0.6666666666666667,282.99371218681335
SVC,0.008065009805319713,nan,poly,nan,nan,nan,0.026652792427726744,0.0,290.1125502586365
XGBoost,nan,nan,NA,45,nan,nan,0.0030962075984873228,0.8,299.76865100860596
SVC,0.37474223275155194,nan,poly,nan,nan,nan,2.574398011147337,0.6666666666666667,313.0357530117035
XGBoost,nan,nan,NA,29,nan,nan,0.02543324587234694,0.8,323.17983317375183
Logistic,7.994830025962148,nan,NA,nan,nan,nan,nan,0.7179487179487178,345.0063600540161
SVC,0.8926877330368517,nan,poly,nan,nan,nan,1.7393275479717178,0.6666666666666667,356.24067521095276
SVC,2.187783240520183e-05,nan,poly,nan,nan,nan,0.5906685240485037,0.0,362.91430926322937
SVC,3.4792740627455996,nan,poly,nan,nan,nan,1.6855931238371455,0.6666666666666667,384.00371503829956
Logistic,0.6651349636378168,nan,NA,nan,nan,nan,nan,0.72,401.9163498878479
SVC,0.13116375178038184,nan,rbf,nan,nan,nan,4.626897851560625,0.676056338028169,408.25481510162354
SVC,1.5122308388946755,nan,sigmoid,nan,nan,nan,2.437030082025546,0.39669421487603307,414.65369510650635
SVC,0.07615101464628553,nan,poly,nan,nan,nan,0.6683077655484404,0.676056338028169,420.2853219509125
SVC,0.03258027839371885,nan,poly,nan,nan,nan,0.5275797049675307,0.6865671641791045,425.80719208717346
SVC,0.14982385533887563,nan,poly,nan,nan,nan,0.13923221535892696,0.6067415730337079,432.3718481063843
SVC,3.4910508814819416,nan,poly,nan,nan,nan,2.295658313766802,0.6666666666666665,470.6357879638672
SVC,0.028061238313238215,nan,poly,nan,nan,nan,0.17931809124132175,0.48888888888888893,477.73822712898254
XGBoost,nan,nan,NA,4,nan,nan,0.013860064152929744,0.8,487.7192072868347
SVC,3.184440511548482,nan,poly,nan,nan,nan,0.30592237689486607,0.6829268292682927,493.188010931015
SVC,1.525377056539504,nan,rbf,nan,nan,nan,0.3245304895559518,0.676056338028169,499.373633146286
SVC,5.203226399998508,nan,rbf,nan,nan,nan,0.05525632615585475,0.6969696969696969,505.5193281173706
SVC,5.820073599172026,nan,poly,nan,nan,nan,0.02124744929087893,0.0,512.6810500621796
SVC,3.4965737127258323,nan,poly,nan,nan,nan,0.3596868750180638,0.6666666666666666,518.5159690380096
SVC,4.661149544986622,nan,poly,nan,nan,nan,0.5764291932354447,0.6666666666666666,526.945404291153
SVC,0.06737882542871516,nan,rbf,nan,nan,nan,0.014446567197775236,0.5043478260869565,535.070326089859
XGBoost,nan,nan,NA,7,nan,nan,0.04281753844349365,0.8,544.5778539180756
SVC,3.423956345778386,nan,rbf,nan,nan,nan,0.004945990958799224,0.6153846153846154,550.9317290782928
